Party,Handle,Tweet
Congress,incindia,"While the BJP govt tries to hide from the truth, the question on every Indian's mind is, how did the world's fastest growing economy end up in a situation where growth of all sectors have seen a sharp fall? No amount of media gimmicks can change the facts.  https://t.co/9EDo00BR6V"
Congress,incindia,"On almost a regular basis there are cases registered against BJP leaders for sexual harassment or rape.  When punitive action is not taken in such cases, the ruling party is setting a precedent that heinous crimes like these will go unpunished.    https://t.co/SoLZK654F8"
Congress,incindia,Leader of Congress Party in Lok Sabha Shri @adhirrcinc speaks to the media about the NRC list released by the govt.  https://t.co/uuh7kA6ufv
Congress,incindia,With each day that this govt. keeps the people of Kashmir imprisoned they are further reiterating their disregard for humanity &amp; human rights.   #JnKSilenced  https://t.co/L21mISKR1m
Congress,incindia,"Our economy is growing faster than US &amp; China, claimed FM @nsitharaman.   At this point the country Is left wondering if this govt has any clue what growth rate even means.   #GDPinICU  https://t.co/i4A5fRKY48"
Congress,incindia,"Given that several doubts have been raised - even by the former Chief Economic Advisor - on the govt's GDP calculations, is 5% accurate? Is the real rate of growth even lower?   #BahiKhateMeinLocha"
Congress,incindia,"As predicted, GDP growth is lower - 5% in Q1 of 2019-20 (lowest in 5 years).   Convenient time to hold a PC &amp; attempt headline manipulation, but you can't hide from the truth Madam FM @nsitharaman #BahiKhateMeinLocha    https://t.co/xPXuiMe0hY"
Congress,incindia,"The amount of fraud in 5 years is ₹1,74,753 crore. Of this, ₹71,500 crore is the figure for 2018-19 only. Most of this fraud has been in advances, i.e. fake trade, raising money on fake documents etc: Prof Gourav Vallabh  #BahiKhateMeinLocha  https://t.co/aClMGv1PXi"
Congress,incindia,"Bank frauds have increased by 74%, GDP is at a 5-year low, industries like ParleG &amp; automobile are dissolving like a biscuit in a teacup, jobs are evaporating faster than acetone, but BJP is aloof to the fatal crash we are headed towards: @JaiveerShergill  #BahiKhateMeinLocha  https://t.co/Lm1zAHE7HH"
Congress,incindia,The problem with empty symbols is that they do nothing to help the economy. FM @nsitharaman could carry a Bahi Khata or Briefcase but if what's inside remains the same (i.e Modinomics) our economy will continue to grow at 5.8% or lower #BahiKhateMeinLocha   https://t.co/xdA9baUGkw
Congress,incindia,It's been 25 days since India heard the voice of Kashmiris.   #JnKSilenced  https://t.co/xWFdebdpY8
Congress,incindia,The govt's lawless actions in J&amp;K continue to garner unwarranted international intervention. PM Modi &amp; his Cabinet have disgraced India's democratic credibility across the globe.    https://t.co/LwgLBAbhKW
Congress,incindia,Can't help but wonder what the BJP has to say about Pakistan quoting Haryana CM in their letter to UN.   Hypocrisy ki bhi seema hoti hai.   #BJPSupportsPakistan   https://t.co/EcD1LQ2ctV
Congress,incindia,"For 24 days the people of Kashmir have been imprisoned by this govt. Yet the BJP cannot think beyond petty politics, the human cost of their actions doesn't affect their decision making.   #JnKSilenced  https://t.co/TmkXxqQUAq"
Congress,incindia,"""The biggest punishment is not being able to contact anyone"", says I&amp;B Minister @PrakashJavdekar.   Does the same not apply to the people of Kashmir?    https://t.co/RX2ShN283O"
Congress,incindia,"I have seen that people were not divided along community, religious, gender or even political lines. This spirit has shown me that people of Wayanad can come out of any tragedy and it has made me very proud to be your MP: Shri @RahulGandhi   https://t.co/j1ueUNr5eI"
Congress,incindia,India Ratings and Research (Fitch Group) has revised India’s FY20 GDP growth to 6.7% (six-year low) from its earlier forecast of 7.3%. It expects FY20 to be third consecutive year of subdued growth.   #UnfitGovtUnfitEconomy  https://t.co/QZIJV3Ya8N
Congress,incindia,"After looting the RBI, the least this govt can do is inform taxpayers how their money will be used.   Unfortunately asking BJP to be transparent is like asking BJP to fix the economy - Impossible.   #UnfitGovtUnfitEconomy  https://t.co/dUiXwhSiF8"
Congress,incindia,"We honour #MajorDhyanChand, one of the greatest field hockey players. Known for his extraordinary goal-scoring feats, he won the Olympics gold medal thrice and was awarded the Padma Bhushan for his contributions. His birth anniversary is celebrated as #NationalSportsDay  https://t.co/QMCGD6ZGUh"
Congress,incindia,"Would the Misinformation Minister @PrakashJavdekar care to explain what he means when he says ""Wayanad se jeete toh soch bhi badli?""   #BJPSupportsPakistan  https://t.co/T7ggasQKs6"
Congress,incindia,"While dissent &amp; debate may be alien to the BJP, it is integral for a democracy &amp; it is the role of the Opposition to hold govt accountable. By supporting Pakistan's statement, BJP has shown the world petty politics is more important than Indian unity.   #BJPSupportsPakistan"
Congress,incindia,"AICC I/c Communication, Shri @rssurjewala's statement on BJP's baseless allegations against Shri @RahulGandhi   #BJPSupportsPakistan  https://t.co/whVkClyKs9"
Congress,incindia,BJP - a party that claims to work in 'National Interest' has now officially gone on record to support Pakistan in its attempts to fuel divisive politics in India.   Is there no limit to their desperation for political mileage?   #BJPSupportsPakistan
Congress,incindia,UP CM Ajay Singh Bisht has turned the state into a burning cauldron of hate &amp; violence.   Lynch mobs run rampant through the state &amp; the govt's silence proves they're either complicit or indifferent.   #AdityanathKaJungleRaj   https://t.co/cQzDRVKa34
Congress,incindia,"Congratulations to Wing Commander #ShalizaDhami, on making history by becoming the first female officer to be appointed as Flight Commander of a Flying Unit. We wish you the best.   Jai Hind 🇮🇳  https://t.co/DrSzvV36qw"
Congress,incindia,"India is in a deep financial crisis. The economy is in shambles, all indicators of development are low. India’s GDP is continuously falling: @AnandSharmaINC  #AbkiBaarMandiSarkaar  https://t.co/NpORCNZvvP"
Congress,incindia,"When you strip the RBI of its reserves you're leaving the Reserve Bank vulnerable to a series of disasters.   The contingency fund is for emergency situations, not to cover up for the govt's economic failures.   #AbkiBaarMandiSarkaar  https://t.co/QCYgM2GW0B"
Congress,incindia,"Here are some facts the govt won't tell you:   BJP's GST failed, this led to a massive revenue shortfall. The govt tried to cover this up during the budget announcement but realised it needs the RBI to bail it out.   The truth always has a way of coming out  #AbkiBaarMandiSarkaar  https://t.co/wLzSSLURxE"
Congress,incindia,"The govt wants us to believe that life is slowly returning to normal in J&amp;K. However, when an entire state has been silenced &amp; barricaded from the rest of the country, we must ask ourselves, is this really normal?   #JnKSilenced  https://t.co/3LMAUPgcwS"
Congress,incindia,Rs. 1.76 lakh cr given to the govt by RBI is almost the exact same amount missing from Budget 2019 announcement.   Where was that money spent? Why was it missing from the Budget?   Looting the RBI like this only devastates our economy further &amp; reduces credit rating of the bank.  https://t.co/wZQ6dqYtdi
Congress,incindia,"According to an IMF report, India has become one of the least transparent countries when it comes to data dissemination.   Prior to Modi govt taking over India had an impeccable track record with data dissemination.    https://t.co/xrc6X7299O"
Congress,incindia,"""Spread love everywhere you go. Let no one ever come to you without leaving happier"" - #MotherTeresa  https://t.co/D2JBDNZX08"
Congress,incindia,Congress President Smt. Sonia Gandhi congratulates @Pvsindhu1 on winning a gold medal at the BWF World Championships.  https://t.co/us0HxUm8DF
Congress,incindia,Congratulations to @Pvsindhu1 on becoming the first Indian to win the BWF World Championships gold medal. You have made your nation proud.  https://t.co/2ceC4Qwxs2
Congress,incindia,"No India, Kashmir is not ""back to normal"".   Opposition MPs are blocked from entering J&amp;K, media remains muzzled, schools are empty, mobile &amp; internet are still down &amp; there is still no word from or info on Opposition leaders &amp; where they're being held.   https://t.co/gCpxMAVfvq"
Congress,incindia,Shri @RahulGandhi expresses his condolences to Smt. Sangeeta Jaitley on the untimely demise of Shri Arun Jaitley.  https://t.co/dsL9RwIfB3
Congress,incindia,Congress President Smt Sonia Gandhi expresses her condolences to Smt Sangeeta Jaitley on the untimely demise of Shri Arun Jaitley.  https://t.co/m4fEio6r2n
Congress,incindia,The govt is saying everything is okay here &amp; everything is normal. If everything is normal why are we not allowed out?: Shri @RahulGandhi   Was it not Governor Satya Pal Malik that invited Mr. Gandhi to come to J&amp;K and assess the situation for himself?   #RahulGandhiWithJnK  https://t.co/jneIkpOJve
Congress,incindia,The delegation of Opposition leaders detained at Srinagar Airport.   #RahulGandhiWithJnK  https://t.co/16SZUz0meO
Congress,incindia,Representation to the Governor of Jammu and Kashmir objecting to the undemocratic and unconstitutional detention of the multi-party delegation in Srinagar led by Shri @RahulGandhi  https://t.co/EbUAGMI4Sc
Congress,incindia,Reports are coming in of media persons being aggressively handled by the Srinagar police &amp; blocked from meeting with Opposition leaders delegation.   We strongly condemn these draconian measures against the media.   #RahulGandhiWithJnK
Congress,incindia,"If the situation in Jammu &amp; Kashmir is ""normal"" as the govt claims, why has the delegation of Opposition leaders led by Shri @RahulGandhi been sent back from Srinagar airport?   What is the Modi govt trying to hide?   #RahulGandhiWithJnK"
Congress,incindia,Former Prime Minister Dr Manmohan Singh expresses his condolences to Smt Sangeeta Jaitley on the passing of former Union Minister Shri Arun Jaitley.  https://t.co/TB7UYvOPiy
Congress,incindia,Congress President Smt. Sonia Gandhi shares a condolence message for Shri Arun Jaitley.  https://t.co/19sEA2900u
Congress,incindia,Shri @RahulGandhi is leading a delegation of opposition leaders to assess the ground situation in Kashmir today.   This visit is an attempt to review the reality in the region after the abrogation of Article 370.  #RahulGandhiWithJnK
Congress,incindia,We are deeply saddened to hear the passing of Shri Arun Jaitley. Our condolences to his family. Our thoughts and prayers are with them in this time of grief.  https://t.co/7Tk5pf9edw
Congress,incindia,"Rs 70000cr bank recapitalization plan raises questions:  Fiscal deficit is much higher than what the govt's budget indicated (CAG), what will this do to the fiscal situation? Will the middle class taxpayers pay for all this?  Will the govt share results of past recapitalizations?"
Congress,incindia,"FM says India's economy is down because of global situation - convienently ignoring the simeoultaneous destruction by Demonetisation &amp; GST.   She may have also forgotten that in 2008 during the global recession, our economy remained stable because of Dr. Manmohan Singh's policies"
Congress,incindia,"India is in dire need of an FM with a basic understanding of economics.  Our growth rate may be higher than US &amp; China, but they are a $21 trill &amp; $14.8 trill economies respectively, we are $2.8 trill. You cannot make a growth rate comparison without looking at base levels."
Congress,incindia,"""Pre-budget position has been restored"" - Finance Minister @nsitaraman.   Essentially, the FM has back tracked on several provisions presented in her maiden budget. Only thing that remained the same: no mention of job creation then, no mention today either.  #EconomyGoneBJPMaun"
Congress,incindia,.@airindiain has stated that without equity support it cannot handle the huge debt service liabilities.   Another business is on the verge of collapse but the govt remains silent.   #EconomyGoneBJPMaun   https://t.co/F1uJztkRXB
Congress,incindia,The textile industry bleeds today with massive fall in exports and a threat to 3 crore workers in the industry. It has entered its worst phase in 7 decades &amp; both the PM &amp; Finance Minister have nothing to say.   #EconomyGoneBJPMaun  https://t.co/p0FbpKbdQw
Congress,incindia,"Worst liquidity crisis in 70 years, declining tax revenue, declining expenditure &amp; declining GST, all signs point to a collapsing economy &amp; a govt. with no idea how to save it.   #EconomyGoneBJPMaun  https://t.co/bJo0XrjZTF"
Congress,incindia,"This no longer about fudged data &amp; cover ups, there is a structural problem &amp; the govt is doing nothing to fix it.   The BJP must stop hiding from the facts &amp; accept the damage done in order to save India from economic collapse.   #EconomyGoneBJPMaun  https://t.co/XQ8wT8P5Xu"
Congress,incindia,Rupee is the worst performing currency in Asia - that is the legacy of BJP's economic policies.   #EconomyGoneBJPMaun  https://t.co/pkhikPpmug
Congress,incindia,Former PM Dr. Manmohan Singh takes the oath as Rajya Sabha MP in the presence of Congress President Smt. Sonia Gandhi &amp; senior Congress leaders in the chambers of  Rajya Sabha Chairman M Venkaiah Naidu.  https://t.co/d3gYekIuq0
Congress,incindia,Congress President Smt Sonia Gandhi met with a delegation of the SC Department led by Chairman Shri @NitinRaut_INC  https://t.co/vi4vDVsCvh
Congress,incindia,"Rajiv ji never posed a threat to democracy, he never suppressed public opinion. His ethics and honesty always inspired him: Congress President Sonia Gandhi #Rajiv75  https://t.co/5i4bQwYiqe"
Congress,incindia,"The work done by Rajiv ji is something that cannot be done merely with slogans and pride. Rather, it needs hard work and strong will: Congress President Sonia Gandhi #Rajiv75  https://t.co/33objkMmht"
Congress,incindia,"He always kept the national interest in mind and made several agreements in Assam, Punjab, Tripura, Mizoram: Congress President Sonia Gandhi #Rajiv75  https://t.co/cddkq5W10H"
Congress,incindia,He made India fundamentally stronger. It was his commitment that the youth get voting rights at the age of 18 and that Panchayats should be strong: Congress President Sonia Gandhi #Rajiv75  https://t.co/h5HVgDRVa9
Congress,incindia,"He wanted to build a strong and self-reliant India. An India whose citizens get to live a respectable life, an India that moves forward on the energy of its youth: Congress President Sonia Gandhi #Rajiv75"
Congress,incindia,LIVE: Congress President Smt. Sonia Gandhi addresses event for former PM Shri Rajiv Gandhi #Rajiv75  https://t.co/cFOqEtoNVm
Congress,incindia,Tripura PCC Chief Shri @PradyotManikya talks about Former PM Shri Rajiv Gandhi's contributions to the North Eastern States &amp; people.   #Rajiv75  https://t.co/3WRorxEtcz
Congress,incindia,Former Union Minister Shri @ShuklaRajiv shares some personal anecdotes from Former PM Shri Rajiv Gandhi's life.   #Rajiv75  https://t.co/7b27RoYEYy
Congress,incindia,"""If people like me can imagine that India will be a superpower one day, it is because of the work that Rajiv Gandhi has put in.""   Finance Minister of Punjab, Shri Manpreet Singh Badal.   #Rajiv75  https://t.co/C44gJaSJaK"
Congress,incindia,"""What we have today in India, the fact that we are world class in IT, in science, in our ability to go out there &amp; compete with the best, this is all building on the foundation laid by Rajiv Gandhi ji.""  Rajya Sabha MP, Shri @rajeevgowda   #Rajiv75  https://t.co/Ycl90uqQlj"
Congress,incindia,"Congress President Smt. Sonia Gandhi, Former PM Dr. Manmohan Singh, Shri @RahulGandhi, AICC Gen Sec Smt. @priyankagandhi &amp; senior leaders from the Congress party attend the Rajiv @ 75 event to celebrate former PM Shri Rajiv Gandhi's 75th birth anniversary.   #Rajiv75  https://t.co/ch9RejeuCt"
Congress,incindia,Today we are reaping the benefits of the  changes he brought about in our polity &amp; in our policy making - Deputy CM of Rajasthan Shri  @SachinPilot  speaks about Former PM Shri Rajiv Gandhi.   #Rajiv75  https://t.co/4Hkw3Ub9Zq
Congress,incindia,AICC General Secretary I/c UP West Shri @JM_Scindia speaks about Former PM Shri Rajiv Gandhi's most impactful policies &amp; the incredible legacy he left behind.   #Rajiv75  https://t.co/rqATW4yRK7
Congress,incindia,"""The nation is paying their tributes to Rajiv Gandhi on his 75th birth anniversary. His work will always be remembered."" - Chhattisgarh CM, Shri @bhupeshbaghel   #Rajiv75  https://t.co/BbUaGAnz30"
Congress,incindia,"""Rajiv Gandhi was just not merely a Prime Minister, he was a vision of India"" - Madhya Pradesh CM Shri @OfficeOfKNath.    #Rajiv75  https://t.co/AccZorNKre"
Congress,incindia,President of @MahilaCongress Smt. @sushmitadevinc talk about Former PM Shri Rajiv Gandhi's visionary policies &amp; the stark difference between his policies &amp; those we see today.   #Rajiv75  https://t.co/ZhA8f5YSrI
Congress,incindia,"After 5 years of investigation, authorities are unable to come out with any allegation or a compelling case against P Chidambaram. This leads to only one conclusion - false charges are being heaped upon senior political rivals to silence anyone and everyone: @rssurjewala  https://t.co/ShzZbscmhB"
Congress,incindia,How much did Demonetisation affect the economy:  Aggregate investments from corporates fell by 60% from 2016-17 to 17-18.   As % of GDP it fell from 15% in 2010-11 to 2.7% in 16-17   The report that details these findings has been suppressed by the govt.    https://t.co/3eOoJjSUWV
Congress,incindia,Gurudas Kamat was an advocate by profession who served as Member of Parliament &amp; a former Union Minister. He spent his life diligently serving the people. We honour him today on his death anniversary.  https://t.co/RJK399ESVs
Congress,incindia,"Congress President Smt Sonia Gandhi will address the first in a series of events, tomorrow 22nd August, as part of the celebrations to commemorate Rajiv@75 #Rajiv75"
Congress,incindia,Press Statement by Shri @PChidambaram_IN on the persecution &amp; vendetta politics by the Modi govt.   #BJPVendettaPolitics  https://t.co/5ulUhfHXFb
Congress,incindia,".@officialparleg is not just a biscuit, it is an icon of Indian ingenuity. Today, due to the failure of the BJP govt, this institution will be forced to fire 10,000 workers due to falling sales.  Tax terrorism enforced by this govt is destroying businesses  https://t.co/OiQ48qG9cI"
Congress,incindia,"Once again the resounding call of #BJPSeBetiBachao rings loud &amp; clear through the nation. @BJP4India must expel the deplorable leader immediately, or accept they can neither protect women nor punish sexual offenders.    https://t.co/QQnqoPrTyn"
Congress,incindia,The govt. must make it abundantly clear that J&amp;K is an internal issue &amp; external interference is unwarranted.   Both the UNSC meeting &amp; President Donald Trump's comments are a clear indication of BJP govt's failed diplomacy.     https://t.co/qjq0RL0t33
Congress,incindia,"From education to democracy, Shri Rajiv Gandhi ushered in a wave of changes that led to the strengthening of India's democratic structure. Here are some major policy changes brought in by him that benefited millions.  #Rajiv75  https://t.co/IQR4aiyeNq"
Congress,incindia,"By flouting DU's rules, ABVP has reiterated their disregard for India's institutions. Not only have they disrespected the Uni but by placing Savarkar in line with Bhagat Singh &amp; Subhas Chandra Bose, they've disrespected the very freedom fighters in whose name they seek votes."
Congress,incindia,@RahulGandhi On #SadhbhavanaDiwas Shri @RahulGandhi inaugurated the Rajiv Sadbhavana Media Lab of the Rajiv Gandhi Foundation &amp; awarded laptops to five RGF scholars.  https://t.co/n7RmQZmZ4P
Congress,incindia,Congress President Smt. Sonia Gandhi &amp; Shri @RahulGandhi meet with leaders &amp; office bearers of @MahilaCongress  https://t.co/NNkI4At9V9
Congress,incindia,"A govt that persecutes its citizens for speaking truth to power is only reiterating its own cowardly nature.   @PChidambaram_IN is an extremely qualified &amp; respected leader, he has served this nation with dedication &amp; humility. We stand by his quest for truth no matter what."
Congress,incindia,"Former RBI Governor Raghuram Rajan lambasts the govt's economic policies, calling them ""very worrisome"". He cites the decline of the auto industry, FMCG, power &amp; non-banking financial sectors. He also stated the need for a fresh look at GDP calculation.    https://t.co/vlNxE9e2ON"
Congress,incindia,Moments from #SadbhavanaDiwas from Congress Party headquarters across the country. ⚡️ “#Rajiv75”   https://t.co/IEekr50kFq
Congress,incindia,We are deeply disturbed by the number of lives lost due to heavy rains in northern India. Our thoughts &amp; prayers are with the families of the victims. We urge the govt to put all necessary forces to help the people &amp; urge Congress workers to do the same.    https://t.co/muVbmWEdNp
Congress,incindia,"@RahulGandhi Shri @RahulGandhi inaugurates the Rajiv Gandhi Socio-Technical, Knowledge, Innovation and Learning Lab on #SadbhavanaDiwas  #Rajiv75  https://t.co/Wo54UXplyC"
Congress,incindia,"@RahulGandhi Congress President Smt. Sonia Gandhi &amp; Shri @RahulGandhi inaugurate an exhibition entitled, Memories &amp; Archives of Rajiv Gandhi.  #Rajiv75 #SadbhavanaDiwas  https://t.co/cubeRBQG9G"
Congress,incindia,Congress President Smt. Sonia Gandhi &amp; Shri @RahulGandhi distribute scooters at Rajiv Gandhi Foundation on the 75th birth anniversary of Former PM Shri Rajiv Gandhi.   #Rajiv75 #SadbhavanaDiwas  https://t.co/rS1JnxsTMl
Congress,incindia,Watch Former PM Dr. Manmohan Singh pay homage to Former PM Shri Rajiv Gandhi on his 75th birth anniversary.   #Rajiv75 #SadbhavanaDiwas    https://t.co/sOsyZGnH2l
Congress,incindia,"Did You Know Shri Rajiv Gandhi was an avid photographer? He was known to take some of the most beautiful photographs of his family, his country &amp; the world around him.   Can you guess which of the two pictures were taken by him. Like for A, RT for B.   #Rajiv75 #SadbhavanaDiwas  https://t.co/BszXDp83i4"
Congress,incindia,Before Shri Rajiv Gandhi joined politics he had a completely different career. Can you guess where he worked?   #Rajiv75 #SadbhavanaDiwas
Congress,incindia,Shri Rajiv Gandhi's commitment to empowering youth was illustrated largely through his education policy. He understood the important role education played in shaping the future of our nation &amp; created the National Policy on Education to instil change.   #Rajiv75 #SadbhavanaDiwas  https://t.co/4k3xbbxmOX
Congress,incindia,"Former President Dr. Pranab Mukherjee, former Vice President Hamid Ansari &amp; senior Congress leaders pay homage to Former PM Shri Rajiv Gandhi on his 75th birth anniversary.   #SadbhavanaDiwas #Rajiv75  https://t.co/Kso2keGDBz"
Congress,incindia,"Former PM Dr. Manmohan Singh, Congress President Smt. Sonia Gandhi, Shri  @RahulGandhi  &amp; AICC Gen Sec Smt.  @priyankagandhi  pay homage to Former PM Shri Rajiv Gandhi on his 75th birth anniversary.   #SadbhavanaDiwas #Rajiv75  https://t.co/BgjeX6zwhh"
Congress,incindia,"Shri Rajiv Gandhi's dream was to make India a formidable force in the 21st century.He focused on technology, education &amp; giving a voice to the disenfranchised. His vision &amp; policies are the foundation upon which India thrived &amp; for that he will always be revered  #SadbhavanaDiwas  https://t.co/F4AeZVfTcs"
Congress,incindia,"India's strength lies in its unity and diversity. As we remember Shri Rajiv Gandhi on his 75th birth anniversary, we must also remember that his words are now more relevant than ever. We must never allow communal madness to break the bond of unity among us all.  #SadbhavanaDiwas  https://t.co/mHjEmjMmmO"
Congress,incindia,"Shri Rajiv Gandhi believed in empowering panchayats &amp; local bodies. His dream was realised with the passing of 73rd &amp; 74th Constitutional Amendments that legitimised Panchayats &amp; Nagarpalikas, giving millions of Indians the power to participate in their democracy.   #Rajiv75  https://t.co/UUck5RlRoT"
Congress,incindia,"We congratulate Former PM Dr. Manmohan Singh on being elected as a Rajya Sabha MP from Rajasthan. His repository of knowledge, dedication to his work &amp; years of experience will benefit all.  https://t.co/V71T6gGZOi"
Congress,incindia,Congress President Smt. Sonia Gandhi shares her condolences to the family of Dr. Jagannath Mishra.  https://t.co/eDf7IxGUJ0
Congress,incindia,"We pay tribute to former President SD Sharma. He served as the 9th President, as a Union minister, the Chief Minister of the erstwhile state of Bhopal and also the President of the Indian National Congress.  https://t.co/w40EpUj0dP"
Congress,incindia,"When the nation was rife with separatism &amp; insurgency, Shri Rajiv Gandhi's visionary work brought our country together. Through thoughtful negotiation in the Mizoram, Punjab &amp; Assam Accords, he set the standard for #NationalIntegration, peace &amp; security in the country.   #Rajiv75  https://t.co/iTIjeelHyB"
Congress,incindia,"Our deepest condolences to the family of Shri Jagannath Mishra. Our thoughts and prayers are with them in this time of grief.   Former CM of Bihar &amp; a leader of the people, he served the nation with dedication &amp; honour.  https://t.co/bafA38lIJR"
Congress,incindia,"Shri Rajiv Gandhi dreamt of India and it's citizens being at the forefront of the world. His decisions, in the short time he was  PM, ensued a wave of changes in the country which helped us achieve greater heights. #Rajiv75 #YouthEmpowerment  https://t.co/XBhwT6A2NO"
